Activity Period,Operating Airline,GEO Summary,Passenger Count
201804,KLM Royal Dutch Airlines,International,29170
201806,Korean Air Lines,International,33992
201908,Norwegian Air UK Ltd,International,13659
201805,Finnair,International,5430
201902,American Airlines,Domestic,278152
201807,United Airlines,Domestic,1839225
201907,Hawaiian Airlines,Domestic,32939
201902,Sun Country Airlines,Domestic,4224
201803,Compass Airlines,Domestic,68160
201906,Alaska Airlines,International,18251
201810,Asiana Airlines,International,16656
201803,Southwest Airlines,Domestic,308577
201806,Air China,International,18213
201808,Asiana Airlines,International,16834
201909,Lufthansa German Airlines,International,44408
201907,French Bee,International,12830
201904,Singapore Airlines,International,28022
201806,Hong Kong Airlines Limited,International,9258
201907,Thomas Cook Airlines,International,7519
201811,Asiana Airlines,International,16138
201901,SAS Airlines,International,10469
201809,Air Canada,International,89476
201802,KLM Royal Dutch Airlines,International,14113
201803,Air India Limited,International,13456
201804,China Eastern,International,19427
201808,XL Airways France,International,8644
201906,"COPA Airlines, Inc.",International,17428
201908,Aer Lingus,International,17011
201802,SkyWest Airlines,International,8833
201901,Aeromexico,International,27354
201808,Icelandair EHF,International,7028
201810,Icelandair EHF,International,6969
201805,Swiss International,International,19517
201811,All Nippon Airways,International,12856
201903,Air Canada,International,71224
201907,Virgin Atlantic,International,26237
201812,JetBlue Airways,Domestic,122390
201811,Japan Airlines,International,12484
201811,Delta Air Lines,Domestic,320890
201908,Air New Zealand,International,12687
201811,China Southern,International,16593
201906,ABC Aerolineas S.A. de C.V. dba Interjet,International,12058
201908,Qantas Airways,International,24865
201905,Horizon Air,Domestic,30108
201808,Air Pacific Limited dba Fiji Airways,International,5326
201811,Alaska Airlines,Domestic,509215
201902,Air India Limited,International,15128
201810,Air Pacific Limited dba Fiji Airways,International,3346
201907,Compass Airlines,Domestic,21043
201804,All Nippon Airways,International,11847
201907,Iberia,International,12860
201907,Southwest Airlines,Domestic,308704
201906,Air China,International,25670
201803,Hawaiian Airlines,Domestic,32149
201808,KLM Royal Dutch Airlines,International,33504
201908,British Airways,International,42015
201807,Volaris Airlines,International,5555
201810,KLM Royal Dutch Airlines,International,28788
201806,Alaska Airlines,International,26716
201804,Japan Airlines,International,11822
201804,Delta Air Lines,Domestic,336962
201804,China Southern,International,15367
201808,SkyWest Airlines,International,5079
201902,Philippine Airlines,International,19666
201904,JetBlue Airways,Domestic,120820
201905,Lufthansa German Airlines,International,42725
201804,Alaska Airlines,Domestic,170508
201810,SkyWest Airlines,International,10997
201807,Frontier Airlines,Domestic,23380
201909,JetBlue Airways,Domestic,108905
201907,Sun Country Airlines,Domestic,36813
201902,Hawaiian Airlines,Domestic,27118
201905,Singapore Airlines,International,29569
201902,French Bee,International,6808
201908,United Airlines,International,486549
201804,Asiana Airlines,International,15564
201906,Korean Air Lines,International,29635
201906,SkyWest Airlines,Domestic,360349
201803,Philippine Airlines,International,21757
201906,WestJet Airlines,International,30654
201802,Air Pacific Limited dba Fiji Airways,International,1788
201806,WOW Air,International,18421
201811,China Eastern,International,18777
201907,American Airlines,Domestic,339520
201810,Hawaiian Airlines,Domestic,31457
201903,Norwegian Air UK Ltd,International,649
201909,El Al Israel Airlines LTD.,International,4393
201804,Sun Country Airlines,Domestic,12220
201803,KLM Royal Dutch Airlines,International,20591
201808,Hawaiian Airlines,Domestic,32653
201907,Asiana Airlines,International,17617
201808,French Bee,International,13098
201806,Finnair,International,6167
201810,French Bee,International,11735
201805,Air China,International,18651
201803,SkyWest Airlines,International,12147
201802,Air India Limited,International,10035
201804,American Airlines,Domestic,311126
201812,Frontier Airlines,Domestic,27591
201901,British Airways,International,30939
201804,Iberia,International,1352
201804,Southwest Airlines,Domestic,320077
201804,Compass Airlines,Domestic,55919
201805,WestJet Airlines,International,21421
201907,All Nippon Airways,International,14667
201905,Emirates,International,26447
201902,KLM Royal Dutch Airlines,International,15019
201905,China Airlines,International,18553
201811,Virgin Atlantic,International,22317
201812,Volaris Airlines,International,4902
201907,Delta Air Lines,Domestic,476605
201907,Japan Airlines,International,13227
201805,Korean Air Lines,International,28998
201805,SkyWest Airlines,Domestic,279883
201907,China Southern,International,19119
201808,Philippine Airlines,International,22511
201902,SkyWest Airlines,International,10420
201907,Alaska Airlines,Domestic,524790
201810,Philippine Airlines,International,20372
201901,United Airlines,International,345972
201811,Compass Airlines,Domestic,33530
201902,Icelandair EHF,International,3941
201802,Hawaiian Airlines,Domestic,27607
201805,"COPA Airlines, Inc.",International,19251
201903,Jazz Aviation,International,15529
201811,Iberia,International,4616
201811,Southwest Airlines,Domestic,285343
201809,Air France,International,39813
201908,Aeromexico,International,32285
201901,Aer Lingus,International,11892
201807,JetBlue Airways,Domestic,154270
201903,Cathay Pacific,International,46776
201909,Frontier Airlines,Domestic,45854
201804,Virgin Atlantic,International,22235
201905,EVA Airways,International,50347
201810,Air India Limited,International,15411
201902,Air Pacific Limited dba Fiji Airways,International,2799
201808,Air India Limited,International,15318
201905,TACA,International,15374
201908,SAS Airlines,International,13609
201905,Turkish Airlines,International,19391
201811,Sun Country Airlines,Domestic,12753
201901,Qantas Airways,International,23980
201905,United Airlines,Domestic,1521868
201809,Jazz Aviation,International,14171
201901,Air New Zealand,International,16750
201903,Air France,International,17618
201805,ABC Aerolineas S.A. de C.V. dba Interjet,International,3846
201809,Cathay Pacific,International,39078
201904,Frontier Airlines,Domestic,28459
201803,Air Pacific Limited dba Fiji Airways,International,2232
201802,Philippine Airlines,International,19035
201811,American Airlines,Domestic,333783
201906,Swiss International,International,18295
201907,China Eastern,International,21141
201802,Virgin Atlantic,International,15581
201803,Alaska Airlines,Domestic,79214
201909,Emirates,International,25577
201808,American Airlines,Domestic,359546
201803,Delta Air Lines,Domestic,271366
201809,British Airways,International,41388
201810,American Airlines,Domestic,329692
201803,Japan Airlines,International,12923
201909,China Airlines,International,16867
201803,China Southern,International,16546
201903,United Airlines,International,367554
201812,United Airlines,Domestic,1390933
201805,WOW Air,International,15259
